event_sequence,utc,seconds_from_first_sample,seconds_from_flash_runner_complete,channel_0,channel_1,gain_index,integration_index,density_estimate,saturated,valid
91,2026-07-15T01:23:12.484383419Z,7.184066113,-8.585667545,2211,230,2,0,0.619278474795,0,1
92,2026-07-15T01:23:12.585012825Z,7.284695519,-8.485038139,2211,230,2,0,0.619278474795,0,1
93,2026-07-15T01:23:12.685574555Z,7.385257249,-8.384476409,2211,230,2,0,0.619278474795,0,1
94,2026-07-15T01:23:12.785979280Z,7.485661974,-8.284071684,2212,230,2,0,0.619083296209,0,1
95,2026-07-15T01:23:12.936708083Z,7.636390777,-8.133342881,2212,230,2,0,0.619083296209,0,1
96,2026-07-15T01:23:13.037243610Z,7.736926304,-8.032807354,2212,230,2,0,0.619083296209,0,1
97,2026-07-15T01:23:13.137868018Z,7.837550712,-7.932182946,2212,230,2,0,0.619083296209,0,1
98,2026-07-15T01:23:13.238513977Z,7.938196671,-7.831536987,2212,230,2,0,0.619083296209,0,1
99,2026-07-15T01:23:13.339028267Z,8.038710961,-7.731022697,2212,230,2,0,0.619083296209,0,1
100,2026-07-15T01:23:13.439521145Z,8.139203839,-7.630529819,2212,230,2,0,0.619083296209,0,1
101,2026-07-15T01:23:13.540088589Z,8.239771283,-7.529962375,2212,230,2,0,0.619083296209,0,1
102,2026-07-15T01:23:13.640532957Z,8.340215651,-7.429518007,2212,230,2,0,0.619083296209,0,1
103,2026-07-15T01:23:13.741152115Z,8.440834809,-7.328898849,2212,230,2,0,0.619083296209,0,1
104,2026-07-15T01:23:13.841713289Z,8.541395983,-7.228337675,2212,230,2,0,0.619083296209,0,1
105,2026-07-15T01:23:13.942327439Z,8.642010133,-7.127723525,2213,230,2,0,0.618888206654,0,1
106,2026-07-15T01:23:14.042938441Z,8.742621135,-7.027112523,2212,230,2,0,0.619083296209,0,1
107,2026-07-15T01:23:14.143388877Z,8.843071571,-6.926662087,2213,230,2,0,0.618888206654,0,1
108,2026-07-15T01:23:14.243896590Z,8.943579284,-6.826154374,2213,230,2,0,0.618888206654,0,1
109,2026-07-15T01:23:14.344592953Z,9.044275647,-6.725458011,2213,230,2,0,0.618888206654,0,1
110,2026-07-15T01:23:14.445088479Z,9.144771173,-6.624962485,2213,230,2,0,0.618888206654,0,1
111,2026-07-15T01:23:14.545566870Z,9.245249564,-6.524484094,2213,230,2,0,0.618888206654,0,1
112,2026-07-15T01:23:14.645957254Z,9.345639948,-6.424093710,2213,230,2,0,0.618888206654,0,1
113,2026-07-15T01:23:14.746510835Z,9.446193529,-6.323540129,2213,230,2,0,0.618888206654,0,1
114,2026-07-15T01:23:14.847152434Z,9.546835128,-6.222898530,2213,230,2,0,0.618888206654,0,1
115,2026-07-15T01:23:14.947623148Z,9.647305842,-6.122427816,2213,230,2,0,0.618888206654,0,1
116,2026-07-15T01:23:15.048068761Z,9.747751455,-6.021982203,2213,230,2,0,0.618888206654,0,1
117,2026-07-15T01:23:15.148676407Z,9.848359101,-5.921374557,2213,230,2,0,0.618888206654,0,1
118,2026-07-15T01:23:15.249357255Z,9.949039949,-5.820693709,2213,230,2,0,0.618888206654,0,1
119,2026-07-15T01:23:15.350080401Z,10.049763095,-5.719970563,2214,230,2,0,0.618693206049,0,1
120,2026-07-15T01:23:15.450472615Z,10.150155309,-5.619578349,2214,230,2,0,0.618693206049,0,1
121,2026-07-15T01:23:15.550871922Z,10.250554616,-5.519179042,2214,230,2,0,0.618693206049,0,1
122,2026-07-15T01:23:15.651433727Z,10.351116421,-5.418617237,2214,230,2,0,0.618693206049,0,1
123,2026-07-15T01:23:15.751843810Z,10.451526504,-5.318207154,2214,230,2,0,0.618693206049,0,1
124,2026-07-15T01:23:15.852211180Z,10.551893874,-5.217839784,2214,230,2,0,0.618693206049,0,1
125,2026-07-15T01:23:15.952579261Z,10.652261955,-5.117471703,2214,230,2,0,0.618693206049,0,1
126,2026-07-15T01:23:16.052965658Z,10.752648352,-5.017085306,2214,230,2,0,0.618693206049,0,1
127,2026-07-15T01:23:16.153335603Z,10.853018297,-4.916715361,2214,230,2,0,0.618693206049,0,1
128,2026-07-15T01:23:16.253779238Z,10.953461932,-4.816271726,2214,230,2,0,0.618693206049,0,1
