event_sequence,utc,seconds_from_first_sample,seconds_from_flash_runner_complete,channel_0,channel_1,gain_index,integration_index,density_estimate,saturated,valid
121,2026-07-15T00:56:55.491994321Z,10.258231974,-5.447898283,2263,235,2,0,0.609245486851,0,1
122,2026-07-15T00:56:55.592713652Z,10.358951305,-5.347178952,2263,235,2,0,0.609245486851,0,1
123,2026-07-15T00:56:55.693419523Z,10.459657176,-5.246473081,2263,235,2,0,0.609245486851,0,1
124,2026-07-15T00:56:55.794251039Z,10.560488692,-5.145641565,2263,235,2,0,0.609245486851,0,1
125,2026-07-15T00:56:55.895022083Z,10.661259736,-5.044870521,2263,235,2,0,0.609245486851,0,1
126,2026-07-15T00:56:55.995786407Z,10.762024060,-4.944106197,2263,235,2,0,0.609245486851,0,1
127,2026-07-15T00:56:56.096306325Z,10.862543978,-4.843586279,2263,235,2,0,0.609245486851,0,1
128,2026-07-15T00:56:56.197057279Z,10.963294932,-4.742835325,2263,235,2,0,0.609245486851,0,1
129,2026-07-15T00:56:56.297724897Z,11.063962550,-4.642167707,2263,235,2,0,0.609245486851,0,1
130,2026-07-15T00:56:56.398327173Z,11.164564826,-4.541565431,2263,235,2,0,0.609245486851,0,1
131,2026-07-15T00:56:56.499131666Z,11.265369319,-4.440760938,2263,235,2,0,0.609245486851,0,1
132,2026-07-15T00:56:56.599757152Z,11.365994805,-4.340135452,2263,235,2,0,0.609245486851,0,1
133,2026-07-15T00:56:56.700418276Z,11.466655929,-4.239474328,2263,235,2,0,0.609245486851,0,1
134,2026-07-15T00:56:56.801070934Z,11.567308587,-4.138821670,2263,235,2,0,0.609245486851,0,1
135,2026-07-15T00:56:56.901584424Z,11.667822077,-4.038308180,2263,235,2,0,0.609245486851,0,1
136,2026-07-15T00:56:57.002162983Z,11.768400636,-3.937729621,2264,235,2,0,0.609054833101,0,1
137,2026-07-15T00:56:57.102965010Z,11.869202663,-3.836927594,2264,235,2,0,0.609054833101,0,1
138,2026-07-15T00:56:57.203595412Z,11.969833065,-3.736297192,2264,235,2,0,0.609054833101,0,1
139,2026-07-15T00:56:57.304016002Z,12.070253655,-3.635876602,2264,235,2,0,0.609054833101,0,1
